,0
55,"𝐅𝐫𝐞𝐬𝐡 𝐩𝐫𝐞𝐭𝐭𝐲 𝐠𝐥𝐚𝐦 ✨. 

𝐒𝐩𝐚𝐫𝐤𝐥𝐞𝐬 & 𝐠𝐥𝐨𝐰𝐢𝐧𝐠 𝐬𝐤𝐢𝐧 𝐢𝐬 𝐚𝐥𝐰𝐚𝐲𝐬 𝐚 𝐠𝐨𝐨𝐝 𝐢𝐝𝐞𝐚 😍..

𝐃𝐢𝐝 𝐲𝐨𝐮 𝐤𝐧𝐨𝐰 𝐈 𝐚𝐥𝐬𝐨 𝐨𝐟𝐟𝐞𝐫 𝟏-𝟏 𝐦𝐚𝐤𝐞𝐮𝐩 𝐥𝐞𝐬𝐬𝐨𝐧𝐬 & 𝐠𝐫𝐨𝐮𝐩 𝐭𝐫𝐚𝐢𝐧𝐢𝐧𝐠 𝐦𝐞𝐬𝐬𝐚𝐠𝐞 𝐦𝐞 𝐟𝐨𝐫 𝐦𝐨𝐫𝐞 𝐢𝐧𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧 📲

#makeupbyme #makeupartist #mua #makeupgoals #makeup #makeupartistsworldwide #look #wakeupandmakeup #fentybeauty #dollbeauty #iconic #bobbibrown #maccosmetics #bronze #makeupblogger #makeupjunkie #makeuplover #makeupforever #makeuplife #nars #makeup #lauramercier #morphe #hudabeauty #charlottetilbury #makeupaddict #makeuptutorial #glam #makeupandhair #makeupforever #makeupart #urbandecay"
56,"Don’t rush something you want to last forever
.
.
.

#makeup#makeupartist#makeupartistworldwide_official#makeupartisindia#mua#smokeyeyes#makeuptransformation#bollywoodmakeup#makeupvideos#makeupreels#makeuptutorial#beauty#indianbride#bridal#bridalmakeup#reelitfeelit#makeuplover#makeupaddict#makeuplooks#wakeupandmakeup#fashion#makeupoftheday#beautymakeup#maccosmetics#skincare#weddindmakeup#photoofday#undiscoveredmuas"
57,"#Revealed 🚨 NEW! MoistureGlow  Plumping Lip Color 👄💄 #makeupbymario 

A full-coverage, water-infused liquid lip color that hydrates and visibly plumps with a weightless, glossy feel in 13 shades $24 each

Will be available ➡️ March 23 on their website and #sephora 

What shades are on your list? 👄💄XO #Trendmood Thank u for the update: snoopycoupon 

#makeup #makeuptutorial #makeupoftheday #makeupoftheday #beauty #beautytips #beautyobsessed #beautyaddict #beautyeditorial #beautyhacks  #shoppingaddict #unboxingvideo https://bit.ly/3K067Sk"
58,"N U R  E R A M A R D E N A ▫️Majlis Bersanding 
.
.
Styling hananuri_ 
Dress & Earring reyn_hm 
Tiara  teambride.bn 
.
.
For makeup enquiry:
Whatsapp 886 3883 or click the link in the bio.
.
.
#sephora #lamer #benefitcosmetics #chanel #tomford
#lauramercier #charlottetilbury #makeupbyangiedee
#angiedeebride #makeupbyme #glowbyangiedee
#gorgeousbridebyangiedee #muabrunei #muatutong
#muakualabelait #muatemburong #makeupwedding
#bruneimakeupartist #malaywedding #bruneiweddings
#makeupartistbrunei #bruneiwedding #bruneimakeup #nars
#maccosmetics #urbandecay #malamberbedak
#solemnisation #nikah #majlisbersanding"
59,"🤎🤎🤎
.
.
.
.
.
Follow ➡️ _fancyvibess_ ❣️
.
.
.
.
.
#charlottetilbury #makeup #makeupartist #hudabeauty #maccosmetics #mua #anastasiabeverlyhills #beauty #nars #fentybeauty #lauramercier #urbandecay #makeuptutorial #toofaced #charlottetilburymakeup #makeupaddict #makeuplooks #bridalmakeup #mac #benefitcosmetics #makeupforever #makeuplover #bobbibrown #narscosmetics #wakeupandmakeup #tartecosmetics #nyxcosmetics #makeupoftheday #morphe #pillowtalk"
60,"Hair and makeup by me on this beautiful bride 🥰 #beautybyhanin
•
•
tartecosmetics morphebrushes hudabeauty charlottetilbury"
61,"🎀 • V A L E R I A • 🎀
Makeup & Hair mua_javiier.ce 💄
Para: valemiyar ✨
•
• 
•
#MakeupJaviierCe #makeup #2022 #tendencias #redlips #wavyhair #socialmakeup #makeupartist #novias #jrecosmetics #Novias #brides #XV #pretty #makeuptrends #profesionalmakeup #moiracosmetics #luistorresxbeautycreations #fentybeauty #sephora #tartecosmetics #kryolanprofessionalmakeup #morphe #mac #nars #esteelaudermakeup #chanelmakeup #beautycreations #arantzacosmetics #luistorresxbeautycreations #moira"
62,"💗 OBSESSED with hudabeauty hudabeautyshop eyeshadow palettes! I have collected all the larger size palettes every year apart from the OG rose gold which I don't have! 💗 Right now I'm using the Empowered & ROSE quartz ones together and the eye looks are so so gorgeous! I'd love huda to make an all PINK palette, pastels, glitters, shimmers in all different tones of pink! 🤍🙆‍♀️💕 I'm ready!! Do you own any hudabeauty palettes? 🤍✌️😘 xoxo 

Please kindly tag huda hudabeauty hudabeautyshop kayali monakattan alyakattan for me thank you! 💕

#hudakattanlovers #hudakattan #monakattan #alyakattan #monafam #hudasbeauties #hudabeauty #hudabeautypalette #hudamakeup #hudabeautycosmetics #wishfulskin #hudabeautypowerbullet #perfumeprincess #fragranceobsessed #hudabeautynaughtynude #hudabeautyobsessions #makeupflatlay #makeupoftheday #perfumecollection #trendingnow #hudabeautytribe #kayali #hudabeautyeyeshadow #hudabeautymeltedshadows #shophudabeauty #hudakattanbeauty #hudabeautyshop #hudabeautyrosegoldpalette"
63,"Alhamdulillah for Everything..... ❤️
3rd Sehri.... ☕🍪🥚☕☕☕

#reelsInstagram #photography #bridalmakeup #korean #bollywood #food #fashion #style #music #reelitfeelit #muslim #bride #model #actor #actress #shoot #india #travel #girls #love #weeding #reels #selfie #drawing #makeup #hudabeauty #hollywood #summercollection #boys #ramadan"
64,She’s SO obsessed!!! Send HELP! #sephora #makeup #cheer #cheerleading sephora rebelathleticcheer
65,"makeusd Wow 😍 Which one is your favourite? Swipe to 👉🏼👉🏼👉🏼 to see all! 
follow  wmlty1
Credit @？？

.
.
.

.
.
.

.
.
.

.
.
.
.
.
.
.
.
.
#abhbrows #tartecosmetics #urbandecay #benefitcosmetics #fentybeauty #maccosmetics #farsalicare #lagirl #limecrimemakeup #eyemakeup #eyeglam #beautytutorial #eyetutorial #lashes #liner #smokeyeyes #hudabeauty #wakeupandmakeup #beautyhacks #lipstickhack #beautytips #beauty #eyes #eyemakeuptutorial #nyxcosmetics #makeuptutorial #makeu #lipstickpartist #makeuplook #lashes"
66,"As you can see I have clients of all ages and with permission I take pictures of everyone who’ll let me and post them on my Instagram….Why? Because that to me is keepin it real, not every client is under the age of 25, and I think this is why so many of you are happy to recommend me to your mums/Aunties/mother-in-laws and then they feel comfortable looking at pictures of a wide range of clients that I think gives them a little confidence that they will be happy with their own makeup if they book in Xx #peachesandcream #dollbeauty #makeuplookoftheday #nudelipcolor #liverpoolmakeupartist #liverpoolmua #undiscoveredmuas #illamafia #fluffylashes #loreal #morphebabe #nars #illamasqua #urbandecay #hudabeauty #charlottetilbury #glowingskin #takingbookings #makeupartist #discoverypage #bperfectcosmetics #maybelline #mualiverpool #makeupartistliverpool #bperfectcosmetics #revolutionmakeup #makeup #nyxcosmetics #maccosmetics #makeupartistwestderby"
67,"Inspired Gatsby Makeup 🥂
Using maccosmeticsusa Art Library Nude Palette 🤎😮‍💨 

#gatsbyinspired #makeuplooks #eyeshadowlook #beautybydeliz #makeupartist #maccosmetics #macnudemodelpalette #abhbrows #abhbrowpalette #lauramerciertranslucentpowder"
68,"Another day another Mac counter look wearing the Viva glam 1 lipstick blended at the edges with my finger 
maccosmetics #maccosmetics #makeup #makeupideas #makeuplook #macmakeupaddict"
69,"Every detail counts 🤎

For more information and to book me as your Henna Artist, please refer to the booking highlights on my page.

#hennaartistry #henna #hennainspire #hennastain #hennalove #hennalookbook #mendhi #mendhitattoo #art #mendhiart #hennaart #bride #asainwedding #hennaartist #indianwedding #partyhenna #simplepartyhenna #eidhenna #dollhousedubai #hudabeauty #girlyhenna #zukreat #bridal #intricatehenna #bridalhenna #arabichenna #mandalaart #pakistanistyle 
hennainspox hudabeauty henna_blogger hennablogger_2 thegorgeoushenna d3si_dolls indian_wedding_inspiration"
70,"Crystal Ice💙🤍 Do you like it? 1, 2 or 3?😍
⠀⠀
Eyes:
#colourpopme Flip a Coin + Blue Drink + Tassel Super Shосk Shadow, Drama SZN Jelly Much Shadow, Swerve liner  colourpopcosmetics
#emcosmetics Rodin Divine Skies 
#anastasiabeverlyhills  Taupe Brow Wiz
⠀⠀
Face: 
#diorbeauty Pink Dior Backstage Rosy Glow
#hudabeauty Medium Bronzing Powder
#fentybeauty Pink Pearl Eaze Drop’Lit All-Over Glow Enhancer, DB How Many Carats?!, Amber Bronzer
#kaleidosmakeup Medium S02 Symphony Contour Trio
#maccosmetics Just Whitney Extra Dimension Skinfinish 
⠀⠀
Lips:
#makeupforever  Anywhere Caffeine Artist Color Pencil 600
#kyliecosmetics  Candy K High Gloss 
⠀⠀
#makeupeditorial #crystalmakeup #glowingmakeup #diorbackstage #editorialmakeup #beatthatface #makeupdolls #beautyeditorial  #glammakeup #aestheticmakeup #maccosmeticsfrance"
71,"A glowing complexion doesn't mean there's no room for 
brown - skinned beauties.

Frame - _deepikabatra_ 
HMUA makeupbyrenuvishnani 

#smokeyeye #makeup #makeupartist #mua #beauty #makeuptutorial #makeuplooks #makeupideas #makeuplover #hudabeauty #maccosmetics #wakeupandmakeup #makeupaddict #eyeshadow #makeuplook #makeupoftheday #anastasiabeverlyhills #glam #lashes #glammakeup #bridalmakeup #smokeyeyes #eyemakeup #cutcrease #morphe #eyeliner #smoke #motd #muas #undiscoveredmuas_"
72,"The glow of LOVE 🫶 and ofcourse MAKEUP💄.
.
.
Book your dream day with us 💜
Booking open..
.
#bridalmakeup #makeupartist #makeup #bride #wedding #weddingmakeup #bridal #mua #bridalmakeupartist #bridalhair #beauty #weddingphotography #indianbride #indianwedding #bridetobe #makeuptutorial #weddingdress #makeuplooks #hudabeauty #weddinginspiration #bridesmaids #photography #fashion #love #weddingday #makeuplover #wakeupandmakeup #wedmegood #makeupideas #brides"
73,"Keep calm and sparkle on✨💙🟦# party makeup ❤️
Mua: enhanced_faces_ 
.
.
.
.
.
.
.
.
.

#makeupartist #makeup #mua #makeuptutorial #beauty #makeuplover #makeupaddict #makeuplooks #makeupideas #fashion #love #photography #makeupoftheday #bridalmakeup #beautiful l#model #makeuplook #instagood #instagram #hudabeauty #art #like #lashes #wakeupandmakeup #follow #anastasiabeverlyhills #skincare #makeupwedding #eyeshadow"
74,"Mega volume cat eye style 🫶🏼💐 no spikes added just straight fans! 

$155 📍Elgin, IL 

#eyelashextentions#volumelashes#megavolumeslashes#chicago#chicagosuburbs#southelgin#illinois#sephora#girls#forthegirls#nomakeupmakeup#easymornings#girly#aurora#Elgin#barrington#plainfield#arlingtonheights#lashes#lashmap#cateye#lashinspo#lashextensionstraining#explorepage✨#fyp#beauty#selflove#lashindustry#lashtech#lashtechnician#chicagosuburbs"
75,"🖤🖤
.
.
.
.
.
.
_____________
#ootd#outfit#outfitoftheday#outfitinspo#style#lashes#inked#tattoos#mom#makeup#makeuplook#longhair#ponytail#selfie#model#modelling#picoftheday#fashion#fashionista#fashionstyle#hudabeauty#butterfly#nails#longnails#acrylicnails"
76,"HELLO SPRING! 🌷
It's time to enjoy the beauty of colors, the warmth of the sun and this amazing gift of the universe 🌺💐🌹🌸🌷🪷
#springmakeup #makeup #makeupartist #mua #beauty #makeupideas #spring #makeuplover #makeuptutorial #makeupoftheday #makeuplooks #wakeupandmakeup #anastasiabeverlyhills #motd #makeupaddict #makeuplook #summermakeup #springmakeuplook #instamakeup #eyeshadow #makeupinspo #colorfulmakeup #muas #eyemakeup #undiscovered #undiscoveredmuas #makeupinspiration #k #colourpop #hudabeauty"
77,"Parklife is approaching so here’s some colour for my page 💜💙💚💛❤️ 

I will be opening my diary soon but I can confirm I will be working both Saturday & Sunday. 

eyelashemporium WALL OF FAME
madebymitchell eyeshadow palette 
pinkhoneyuk cola hold brow honey / cookie butter face frosting 
maybelline fit me foundation 
kikomilano gloss 
morphebrushes sweet tea liner 
__dollbeauty_ shine bright 

#colourpop #makeup #colourpopcosmetics #mua #makeupartist #colourpopme #anastasiabeverlyhills #morphe #beauty #hudabeauty #nyxcosmetics #makeuplover #art #makeuptutorial #eyeshadow #wakeupandmakeup #colour #morphebrushes #makeupideas #makeupaddict #maccosmetics #fentybeauty #makeuplooks #motd #morphebabe #makeupoftheday #elfcosmetics #maybelline #undiscovered #muas"
78,"hellooo
82/100
-
hudabeautyshop light glow obsession palette 
creamy kohl eyeliner- Very brown 
-

-
-
#motd #eotd #urbandecaycosmetics #morphebabe #wingedliner #undiscovered_muas #anastasiabeverlyhills #nyxcosmetics #norvina #makeup 
#100daysofmakeup #hudabeauty"
79,"For More Video Follow Me On Instagram (anumchaudary.mua) And YouTube Channel (Anum Chaudhary Vlogs)

#anumch #makeupartistsworldwide #nakedplanet #Morphe #hudabeauty #hudabeautyfoundation #tarteconcealer #anastasiabeverlyhills #softpinkmakeup #partymakeup #pakistanipartymakeup #PakistaniVlogger #pakistanimakeupartist #AnumChaudharyvlogs #anumchaudary.mua #nars #narscosmetics #benefitcosmetics #weddingmakeup #viralonyoutube #viral #youtubevloggers #100makeup #wedding #makeup"
80,"Iniziamo al meglio questa settimana con un fantastico color biondo albicocca,  realizzato unicamente con prodotti mounirproducts.italy mounir 🍑

-> scorri per vedere il prima e dopo 💥

#mounir #hair #haircolor #mounirproduct #hairstyle #balayage #risingmounir #haircut #olaplex #worldisforhairdressers #mounirinternational #revolutiondecouleur #blonde #transformationbymounir #hairstyles #blondehair #makeup #hairstylist #highlights #fashion #ombre #ombrehair #naagin #hudabeauty #hairdresser #mounirarmy #mounirtherevolution #mounirsalon #haircolorist #mounircolor"
81,"متل الأميرات 👸🏻
❤️
Hairstyle and makeup mira_khouri_makeup 
#makeupartist #makeuptutorial #hairstyles #hairdresser #beautifulbride #bride #hudabeauty #makeupforever #maccosmetics #photography #syria #سوريا #دبي #لبنان #الامارات"
82,My bride👰‍♀️makeupjunkie #s#makeupoftheday #makeuptutorials #makeuplook #instamakeup #toofaced #dior #hudabeauty #anastasiabeverlyhills #bobybrown #nyxcosmetics #sephora #makeupforever #chanel #morphebrushes#makeuptutorials #makeuplook #instamakeup #toofaced #dior #hudabeauty #anastasiabeverlyhills #bobybrown #nyxcosmetics #sephora #makeupforever #chanel #morphebrushes
83,"Beautiful inside out hala.dh.21 
#hair #makeup #nails
.
.
.
.
.
marcellanoura 
#hairmakeup #hairstyle #makeupartist #hairstyles #fashion #bridalmakeup #weddinghair #hairart #bridalhairstyle #haircut #hairmakeupdiary #hudabeauty #k #styling #instahair #hairdresser #model #like #hairstylist #anastasiabeverlyhills #mua #beauty #hairvideo #ni #photography #haircolor #hairstyling"
84,"I been testing out these blushes for a little bit now and I love them.  They’re so pretty narsissist rising star cheek palette 

.
.

#makeup #lookoftheday #makeuplook #makeupaddict #makeupjunkie #motd #eyeshadow #skincare #skincareroutine #skincaretips #makeuplover #bridalmakeup #eyeshadow #creamtopowder  #eyeshadowtutorial #eyeshadows #eyeshadowpalette  #eyeshadowswatches #swatches #makeupartistsworldwide #makeuplook #makeupoftheday #makeupofinstagram #sephora #wakeupandmakeup #fallmakeup #indiemakeuplover #panthatpalette #blush #blushpink #blushon #blushkit"
85,"יש עבודות שאנחנו לא מפסיקים להסתכל עליהן, וזו אחת מהן. 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#smokeyeyes #makeup #makeupartist #beauty #maccosmetics #makeuplook #makeuptutorial #hudabeauty #eyeshadow #smokeyeye #lashes #makeupoftheday #eyemakeup #makeuplooks #wakeupandmakeup #makeuplover #bridalmakeup #beautytips #makeupbyme #makeupaddict #makeupideas #eyes #makeupforever #glitter #lipstick #glammakeup #makeuprevolution #fashion #contouring"
86,"🕯

#romanticstyle #coquette #parisianaesthetic
#hyperfemenine #balletcore #softaesthetic #parisianstyle
#pinkcore #pinkaesthetic #coquetteaesthetic #dollette
#oldmoney #oldmoneyaesthetic #coquettedollette
#dolletteaesthetic #pinterest #aesthetic #toofaced #sephora #ulta #sephorahaul #ultahaul 
#pinterestaesthetic #pinterestgirl #girlblogger
#coquetteinspo #coquetteoutfit #angelcore #missdior"
87,"| EARWEN x maybelline | ink lipstick 💄 

❤️‍🔥EYES : 
sheglam_official  Glitch collection collaboration palette
maybelline colossal waterproof mascara
kikomilano khôl
anastasiabeverlyhills brows pommade shade ebony

❤️‍🔥FACE :
douglas_cosmetics face palette 
maybelline Fit me luminous and smooth shade 110
elfcosmetics  baked highlighter shimmering moon pearl

❤️‍🔥HAIR :
wedo_act hands and hair balm 

#makeuptutorial #makeup #makeuplover #explorepage #explorepage✨ #makeupaddict #stylekorea #giveaway #tutorialmakeup #tutorial #wakeupandmakeup #kikomilano #maybeitsmaybelline #maybelline #anastasiabeverlyhills #anastasiabrows #douglascosmetics #wedoact #sheglam #eyeslipsface"
88,"Here’s a little sunny natural look to brighten your day ☀️ 

• Primer - makeupforever hydra boost
• Foundation - patmcgrathreal skin fetish: sublime perfecting foundation 
• Concealer - westmanatelier vital skincare complexion drops 
• Contour - westmanatelier vital skincare complexion drops 
• Powder - maccosmeticscanada studio fix powder 
• Brows - anastasiabeverlyhills brow wiz
• Brow gel - benefitcanada 24-hr brow setter
• Bronzer - tartecosmetics park ave princess 
• Blush - tartecosmetics glisten
• Lid liner - tartecosmetics maneater 
• Mascara - benefitcanada roller lash 
• Lip balm - narsissist laguna afterglow lip balm 

#naturalglam #sunnymakeup #nomakeupmakeup #makeupforever #patmcgrath #patmcgrathlabs #westmanatelier #maccosmetics #anastasiabeverlyhills #benefitcosmetics #tartecosmetics #nars #narsissist #sephora"
89,"Bronzed Glam 🧡🤎
__lillyhoffmann 

Brow lamination also done by myself 

#makeupoftheday #makeupartistsworldwide #undiscovered_muas #vegasnay #fiercesociety #glam #glowup #anastasiabeverlyhills #hudabeauty #wakeupandmakeup #makeupjunkie #dressyourface #bridalmakeup #bridal #weddingmakeup #mua #makeupoftheday #maccosmetics #instamakeup #makeupartist #motd #amrezy #tartecosmetics #beautybloggers #swansea #swanseamakeupartist #norvina #spotlighteye #softglam"
90,"What is your favorite kayali fragrance? I’m torn between Eden Juicy Apple and the NEW Yum Pistachio Gelato. Definitely going to be wearing them combined. 🤤🍨💚😋

I shared some thoughts on yesterdays post on this new juice. 💚🍨💚

🍨 kayali monakattan hudabeautyshop hudabeauty sephora huda 💚
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#kayali #kayalife #kayalilaunch #kayalifragrance #kayaliyumpistachiogelato #kayaliyum #kayaliyumpistachiogelato33 #monakattan #huda #hudabeauty #hudabeautyshop #hudakattan #hudakattanfans #kattansisters #sephora #sephorahaul #sephorausa #sephorauk #perfume #perfumelovers #perfumeaddict #fragrance #fragrances #fragrancelover #fragranceaddict #fragranceoftheday #fragrancereviews #reviews #picoftheday #picofthedays 💚🍨"
91,"What... 
Follow 👉 makeup.complete 
Follow 👉 makeup.complete 
Follow 👉 makeup.complete 
.
.
.
.
.

Credit:  brianna.hx

#beautyqueen #beautycare #beautyproducts #beautyaddicts #beautytips #beautysecret #beautyshop #makeupoftheday #makeupforever #makeupbyme #makeupgeeok #makeupfantastic #mackupartist #smokeyeyes #contouring #makeupblog #maccosmetics #makeupcourses #glowkit #makeuprevolution #makeuplook #prettyface #eyeshadow #palettes #envywear #beautifuleyes #glitter #lashes #naillove"
92,"Home remedies 
Pallavibeautyzone #makeupartist #makeup #mua #makeuptutorial #beauty #makeuplover #makeupaddict #makeuplooks #makeupideas #fashion #love #photography #makeupoftheday #bridalmakeup #beautiful #wedding #model #makeuplook #instagood #instagram #hudabeauty #art #like #lashes #wakeupandmakeup #follow #anastasiabeverlyhills #skincare #makeupwedding #eyeshadow"
93,"• 𝕁𝔸𝕐𝔸 𝕃𝕐ℕℕ𝔼𝕋𝕋𝔼 •
 

𝙲𝚛𝚎𝚊𝚝𝚒𝚟𝚎 𝙳𝚒𝚛𝚎𝚌𝚝𝚘𝚛: jalenfbrown 
𝙿𝚑𝚘𝚝𝚘𝚐𝚛𝚊𝚙𝚑𝚎𝚛: jaya_lynnette 

 
#exploreplage #fyp #london #shoreditch #music #singer #california #creativedirector #photographer #model #plussizemodel #rnb #aesthetics #iconic #glasses #thatgirl #sephora #makeup"
